# Translation Data
# (@English name) (@locale0 name)[ (@locale1 name)...]
#
# locale0: English
# locale1: Korean
#
# Item type
Orb 오브
Consumable 소비
# Item name
No_item 없는_아이템
Large_potion 대형_물약
Small_potion 소형_물약
Random_orb_1 무작위_오브_1
Random_orb_2 무작위_오브_2
Return_scroll 귀환_두루마리
# Item tooltip
It's_not_a_bug,_it's_a_feature. 버그가_아니라_기능입니다!
Restore_@_health._Cure_poison. 체력을_@_회복합니다._중독_상태에서_벗어납니다.
Transform_into_a_random_level_@_orb._Save_the_game. 무작위_@단계_오브로_변합니다._게임을_저장합니다.
Escape_to_Town_immediately._Keep_other_items_in_inventory. 즉시_마을로_탈출합니다._가방의_다른_아이템들을_보존합니다.
# Item effect
Heal 회복
Transform 변화
Return 귀환
#
# Orb name
Red_orb 빨강_오브
Blue_orb 파랑_오브
Green_orb 초록_오브
Black_orb 검정_오브
Fire_orb 불_오브
Water_orb 물_오브
Nature_orb 자연_오브
Poison_orb 독_오브
Lightning_orb 번개_오브
Wind_orb 바람_오브
Light_orb 빛_오브
Fire_shield_orb 불_방어_오브
Water_shield_orb 물_방어_오브
Nature_shield_orb 자연_방어_오브
Lava_orb 용암_오브
Glacier_orb 빙하_오브
Forest_orb 숲_오브
Venom_orb 맹독_오브
Thunder_orb 천둥_오브
Storm_orb 폭풍_오브
Hardening_orb 담금질_오브
Impregnability_orb 난공불락_오브
Growth_orb 성장_오브
Spine_orb 가시_오브
Photosynthesis_orb 광합성_오브
Bloodsucking_orb 흡혈_오브
# Orb tooltip
A_common_reddish_orb 붉은_빛이_도는_오브
A_common_blue_orb 푸른_빛이_도는_오브
A_common_green_orb 초록빛이_도는_오브
A_common_dark_orb 어두운_힘이_느껴지는_오브
A_burning_orb 뜨겁게_타오르는_오브
A_cold_orb 순수하게_차가운_오브
A_vigorous_orb 생명의_활기를_담은_오브
A_dangerous_orb 위험한_향기가_나는_오브
A_shocking_orb 닿으면_기절할_듯한_오브
A_dispersing_orb 잡으려_하면_사라지는_오브
A_dazzling_orb 눈부시게_밝은_오브
A_fireproof_orb 열기를_흡수하는_오브
An_waterproof_orb 물을_흡수하는_오브
An_adaptive_orb 환경에_잘_적응하는_오브
An_orb_that_can_fuse_a_rock 돌조차_녹여버리는_오브
An_orb_that_can_freeze_the_whole_body 뼛속까지_얼려버리는_오브
An_orb_that_keeps_the_origin_of_life 태초의_생명을_간직한_오브
An_orb_that_invokes_a_fear_of_death 죽음을_경험하게_하는_오브
An_orb_that_shakes_the_air 천공을_울리는_오브
An_orb_that_swirls_like_a_maelstrom 혼란에_휘말리게_하는_오브
An_orb_that_tests_the_limitations 한계를_시험하는_오브
An_orb_that_grants_an_iron_protection 철벽처럼_단단한_오브
An_orb_that_is_full_of_spirit 기운이_넘치는_오브
An_orb_that_is_hunger_for_retaliation 복수에_굶주린_오브
An_orb_that_grants_unlimited_sustainability 무한한_동력을_가진_오브
A_vampiric_orb 체력을_착취하는_오브
# Orb effect
Intoxicate 중독
Stun 기절
Flurry 돌풍
FireAmp 용암의_힘
IceAmp 빙하의_힘
NatureAmp 숲의_힘
Sharpen 날카로워짐
Healthier 체력_증가
Reflect 반사
Regenerate 재생
Drain 흡수
Disguise 탈바꿈
# Orb usage
Ingredient 재료
Weapon_only 무기_전용
Armor_only 방어구_전용
#
# Map name
Town 마을
Green 그린
Blue 블루
Red 레드
Tutorial 튜토리얼
#
# Monster name
Fire_pudding 불_푸딩
Ice_pudding 얼음_푸딩
Nature_pudding 자연_푸딩
Goblin_pudding 고블린_푸딩
Devil_pudding 악마_푸딩
Yeti_pudding 예티_푸딩
Flame_elemental 불꽃_정령
Frost_elemental 서리_정령
Tree_elemental 나무_정령
Treasure_mimic 미믹
Ice_golem 얼음_골렘
Fire_golem 불_골렘
Nature_golem 자연_골렘
Tutorial_pudding 튜토리얼_푸딩
Tutorial_golem 튜토리얼_골렘
# Monster weapon name
Incinerator 소각로
Extinguisher 소화기
Root 뿌리
Steal 도둑질
Corruption 타락화
Spark 불똥
Dry_ice 드라이아이스
Spiky_vine 뾰족한_덩굴
Surprise 기습
Snowball 눈덩이
Ice_fist 얼음_주먹
Fire_fist 불_주먹
Nature_fist 야생_주먹
Cold_wind 시린_바람
Cold_fist 시린_주먹
#
# Player
Hyacinth 히아신스
Magic_sword 마력의_검
Magic_spear 마력의_창
Armor 방어구
#
# Message text
Escape_to_Town? 마을로_도망칠까요?
You_had_better_hunt_monsters_as_many_as_possible._If_you_click_'Yes',_you'll_move_to_Town._If_you_click_'No',_you_can_stay_here. 몬스터를_가능한_한_많이_잡고_가는_것이_좋을_겁니다._'예'를_누르면_마을로_이동합니다._'아니오'를_누르면_여기에_머무릅니다.
Charge_interaction 돌진_상호작용
You_had_better_hunt_monsters_as_many_as_possible._Do_you_intend_to_escape_to_Town?_If_so,_click_'Yes'._If_you_click_'No',_you_can_stay_here. 마을로_빨려들어갈_듯한_느낌이_듭니다._그러나_몬스터를_가능한_한_많이_잡고_가는_것이_좋을_겁니다._'예'를_누르면_마을로_이동합니다._'아니오'를_누르면_여기에_머무릅니다.
Do_you_intend_to_escape_to_Town?_If_so,_click_'Yes'._If_you_click_'No',_you_can_stay_here. 마을로_빨려들어갈_듯한_느낌이_듭니다._'예'를_누르면_마을로_이동합니다._'아니오'를_누르면_여기에_머무릅니다.
Leave_without_shopping? 그냥_가실_건가요?
Please_visit_our_shop!_You_can_drop_in_at_our_shop_and_buy_something_new._If_you_want_to_leave_without_visiting_our_shop,_click_'Yes'. 상점에_들러보세요!_우리_상점에서_새로운_아이템을_살_수_있어요._만약_상점을_방문하지_않고_그냥_떠날_거라면,_'예'를_누르세요.
From_Shop_Host -상점주인-
Upgrade_your_weapon? 무기를_강화할까요?
When_you_use_'weapon_only'_orb,_your_CURRENT_EQUIPPED_WEAPON_is_enhanced._Click_'Yes'_to_proceed._If_you_want_to_enchant_another_weapon,_click_'No'_and_press_'C'_key. 무기_전용_오브를_사용하면_'지금_장착한_무기'가_강화됩니다._계속하려면_'예'를_누르십시오._만약_다른_무기를_강화하고_싶다면,_'아니오'를_누르고_'C'키를_누르십시오.
Tutorial_completed! 튜토리얼_완료!
From_now,_you_can_skip_this_tutorial_by_pressing_'K'_key._Click_'OK'_to_move_to_Town. 앞으로_튜토리얼에서_'K'키를_눌러_튜토리얼을_스킵할_수_있습니다._'확인'을_누르면_마을로_이동합니다.
# Shop host speech
Thank_you._I'll_take_it. 고마워요._이건_제가_가져갈게요.
Please_check_if_your_inventory_is_full. 가방이_꽉_찼는지_확인해_보세요.
Not_enough_gold... 골드가_부족하네요...
I'll_return_it_to_you. 필요하다면_돌려드릴게요.
That_would_be_useful_for_you. 유용하게_사용하세요.
Welcome! 어서_오세요!
Take_a_look! 떼껄룩!
#
# Tip text
Only_the_highest_value_of_the_weapon_elements_acts_as_attack_damage. 무기_속성_중_가장_높은_속성들의_값만_공격력으로_발현됩니다.
Magic_spear_has_attack_range_of_2_and_can_attack_two_enemies_at_once. 마력의_창은_사정거리가_2이고_최대_두_마리의_적을_공격할_수_있습니다.
Attack_damage_of_Magic_sword_grows_faster_than_that_of_Magic_spear. 마력의_검은_마력의_창보다_공격력이_빠르게_오릅니다.
There_is_turn_limits_in_battlefield._If_you_use_up_all_given_turns,_it_considers_as_death. 전장에서는_턴_제한이_있으며,_남은_턴_수가_소진되면_사망합니다.
Death_resets_all_your_data(including_saved_file)_and_you_have_to_start_all_over_again._Be_careful! 사망하면_게임을_더는_진행할_수_없게_되며_저장된_파일도_날아갑니다._주의하세요!
You_can_check_a_monster's_status_by_clicking_it. 몬스터를_클릭하면_능력치를_볼_수_있습니다.
Just_place_your_mouse_cursor_on_the_weapon_and_armor_icon. 마우스_커서를_무기_및_방어구_아이콘_위에_올려보세요.
#
Poisoned_enemies_get_true_damage(ignores_defense)_after_enemy's_turn. 중독_효과에_걸린_적은_행동을_한_후에_방어력_무시_피해를_받습니다.
Flurry_gives_true_damage(ignores_defense)_to_nearby_enemies_of_directly_attacked_enemy. 돌풍_효과는_무기로_공격받은_적_주변의_적들에게_방어력_무시_피해를_줍니다.
Stun_makes_directly_attacked_enemy_to_skip_next_turn_by_certain_probablity. 기절_효과는_무기로_공격받은_적이_일정_확률로_행동을_하지_못하게_만듭니다.
Reflect_gives_nearby_enemies_true_damage(ignores_defense)_when_you've_got_attacked. 반사_효과는_받은_피해의_일부를_주변_적들에게_방어력_무시_피해로_돌려줍니다.
Sharpen_increases_charge_attack_damage_more. 날카로워짐_효과는_돌진_시의_기본_공격력을_더_높여줍니다.
Level_3_orbs_can_be_crafted_by_three_Level_2_orbs,_and_it_is_very_powerful. 3단계_오브는_2단계_오브_세_개로_조합할_수_있고,_매우_강력합니다.
# Noti text
Open_the_Menu_and_say_"Goodbye~"_to_quit_game. 메뉴에서_"잘_있거라~"를_외치고_게임을_종료하십시오.
Altar_is_full! 제단이_꽉_찼습니다!
Inventory_is_full! 가방이_가득_찼습니다.
Item_dropped. 아이템을_떨어뜨렸습니다.
Escape_from_here_before_@_turns_pass! @턴_안에_이곳을_탈출하십시오!
All_monsters_were_eliminated. 모든_몬스터를_퇴치했습니다.
Your_Magic_sword_is_enchanted. 마력의_검이_순간_반짝였습니다.
Your_Magic_spear_is_enchanted. 마력의_창이_순간_반짝였습니다.
Your_Armor_is_enchanted. 방어구가_순간_반짝였습니다.
Automatically_saved. 자동_저장되었습니다.
The_game_is_saved. 게임이_저장되었습니다.
#
# UI text
Lv.@ @단계
Menu 메뉴
Goodbye~ 잘_있거라~
HP_: 체_:
Atk: 공_:
Def: 방_:
Range: 사정거리:
Element_for_calc: 계산상의_속성:
# below texts may contain tab('\t') character
FireAmp:			 용암의_힘:		
IceAmp:			 빙하의_힘:		
NatureAmp:		 숲의_힘:			
Normal_attack:	 평타_공격력:	
Charge_bonus: 돌진_보너스:
Charge_attack:	 돌진_공격력:	
Drain: 흡수:
Defense: 방어력:
Effect: 효과:
Sell_price: 판매_가격:
Buy_price: 구매_가격:
Repurchase_price: 재구매_가격:
[Left_click_to_use] [좌클릭으로_사용하기]
[Right_click_to_drop] [우클릭으로_버리기]
[Left_click_to_get_back] [좌클릭으로_돌려받기]
[Left_click_to_compound] [좌클릭으로_조합하기]
[Left_click_to_dedicate] [좌클릭으로_바치기]
[Left_click_to_sell] [좌클릭으로_팔기]
[Left_click_to_buy] [좌클릭으로_사기]
[Left_click_to_repurchase] [좌클릭으로_재구매하기]
Press_'R'_to_revive! R_키를_눌러_부활하세요!
You_died! 당신은_죽었습니다!
Repurchase 재구매
Sold_out 품절
Yes 예
No 아니오
OK 확인
Don't_show_this_message. 이_메시지를_다시_보지_않습니다.
The_number_of_live_monsters 살아있는_몬스터_수
@_turns_left_before_you_die 사망까지_@턴_남음
Moving 이동하는_중
